card_id,target
C_ID_0ab67a22ab,-0.6533984
C_ID_130fd0cbdd,-0.91238725
C_ID_b709037bc5,-0.86191165
C_ID_d27d835a9f,-0.2038166
C_ID_2b5e3df5c2,-1.3325622
C_ID_5814b4f13c,0.47376412
C_ID_a1b3c75277,0.02531609
C_ID_f7cada36d3,-0.20530409
C_ID_9d2bc8dfc4,-1.0677928
C_ID_6d8dba8475,-0.6987895
C_ID_4859ac9ed5,-0.8785566
C_ID_0e281e8ad6,-0.105494976
C_ID_8375dfdaa2,-0.44158214
C_ID_79d149c008,-0.23405045
C_ID_7f1041e8e1,0.31253916
C_ID_f72513589e,0.4595499
C_ID_a7f2d6984e,0.29031762
C_ID_15489b42d3,-0.20233333
C_ID_e457bbd71d,-0.028606117
C_ID_3f74e10c7e,-0.68072
C_ID_48243da9c4,-0.5549861
C_ID_7ea1fcf117,-1.3274863
C_ID_22e4a47c72,-0.35895163
C_ID_5d30729184,0.3625872
C_ID_b54cfad8b2,-0.35058403
C_ID_4b82e26faa,-0.8726444
C_ID_60a453531a,-0.8765087
C_ID_0c9315feec,-0.44090182
C_ID_1e28804d36,-0.38791203
C_ID_68de79f7e2,-0.81599224
C_ID_78dedf0d70,-0.60472345
C_ID_83e740197f,1.0279467
C_ID_e6340286bd,-0.78556144
C_ID_5005a6ad0e,-0.109090984
C_ID_b00860b6a5,-0.37676865
C_ID_c595ba6d92,0.023002177
C_ID_09ad76147d,-0.12682384
C_ID_041f478878,-0.50620735
C_ID_8eaa79db4f,-0.90599287
C_ID_74ff4fdd9d,0.5661074
C_ID_2558bddd83,-0.8746327
C_ID_5077e2007a,-0.90533257
C_ID_66715f7d2b,0.032467067
C_ID_f27972fa70,-0.5527811
C_ID_8f62bd5ac0,-0.27435035
C_ID_40a2412bae,-0.36588967
C_ID_57940f34ad,-0.56147146
C_ID_8f9dc072c4,0.6945015
C_ID_11ca664f8c,-0.642506
C_ID_50ad1cb064,-0.42537808
C_ID_e9771fd0b3,0.85647786
C_ID_df2ae73120,0.0037801862
C_ID_fddf997091,-0.63962996
C_ID_8202301cc0,0.07467753
